Value1,Time1,Value2,Time2
77.4,0.480856481,75.68,0.480868056
77.4,0.480960648,75.68,0.480868056
77.4,0.480960648,75.68,0.480868056
77.4,0.480960648,75.68,0.480868056
77.4,0.480960648,75.68,0.480868056
77.4,0.480983796,75.68,0.480868056
77.4,0.480983796,75.69,0.481006944
77.42,0.481030093,75.69,0.481006944
77.42,0.481030093,75.69,0.481006944
77.42,0.481030093,75.72,0.481041667
77.44,0.481053241,75.72,0.481041667
77.44,0.481053241,75.72,0.481041667
77.44,0.481053241,75.72,0.481041667
77.44,0.481064815,75.72,0.481041667
77.44,0.481064815,75.72,0.481041667
77.44,0.481064815,75.69,0.481111111
77.39,0.481111111,75.69,0.481111111
77.39,0.481111111,75.69,0.481111111
77.39,0.481111111,75.69,0.481111111
77.38,0.481157407,75.69,0.481111111
77.38,0.481157407,75.65,0.48119213
77.38,0.481157407,75.65,0.48119213
77.35,0.48119213,75.65,0.48119213
77.35,0.48119213,75.63,0.481215278
77.41,0.481331019,75.71,0.481331019
77.41,0.481331019,75.71,0.481331019
77.41,0.481331019,75.71,0.481354167
77.42,0.481377315,75.71,0.481354167
77.42,0.481377315,75.71,0.481354167
77.42,0.481377315,75.71,0.481354167
77.42,0.481377315,75.71,0.481377315
77.42,0.481377315,75.71,0.481377315
77.42,0.481377315,75.78,0.481435185
77.48,0.481446759,75.78,0.481435185
77.48,0.481446759,75.77,0.481446759
77.48,0.481446759,75.77,0.481446759
77.41,0.481747685,75.71,0.481747685
77.41,0.481747685,75.71,0.481747685
77.41,0.481747685,75.72,0.481805556
77.38,0.48181713,75.72,0.481805556
77.38,0.48181713,75.72,0.481805556
77.38,0.48181713,75.68,0.481840278
77.38,0.481851852,75.68,0.481840278
77.38,0.481851852,75.68,0.481840278
77.38,0.481851852,75.66,0.481875
77.36,0.481875,75.66,0.481875
77.36,0.481875,75.66,0.481875
77.36,0.481875,75.67,0.481909722
77.37,0.481921296,75.67,0.481909722
77.37,0.481921296,75.67,0.481909722
77.37,0.481921296,75.68,0.481921296
77.37,0.481921296,75.68,0.481921296
77.35,0.481944444,75.68,0.481921296
77.35,0.481944444,75.67,0.481967593
77.35,0.481944444,75.67,0.481967593
77.36,0.481990741,75.67,0.481967593
77.36,0.481990741,75.66,0.481990741
77.36,0.481990741,75.66,0.481990741
77.38,0.482025463,75.68,0.482025463
77.38,0.482025463,75.68,0.482025463
77.38,0.482025463,75.68,0.482025463
77.38,0.482025463,75.68,0.482025463
77.38,0.482025463,75.68,0.482025463
77.38,0.482025463,75.68,0.482025463
77.38,0.482025463,75.68,0.482025463
77.38,0.482025463,75.67,0.482118056
77.37,0.482141204,75.67,0.482118056
77.37,0.482141204,75.68,0.482141204
77.38,0.482175926,75.68,0.482141204
77.38,0.482175926,75.68,0.482141204
77.38,0.482175926,75.68,0.482141204
77.38,0.482175926,75.68,0.482141204
77.38,0.482175926,75.68,0.482141204
77.38,0.482175926,75.68,0.482141204
77.38,0.482175926,75.68,0.482141204
77.38,0.482175926,75.68,0.482268519
77.39,0.482280093,75.68,0.482268519
77.39,0.482280093,75.69,0.482291667
77.39,0.482303241,75.69,0.482291667
77.39,0.482303241,75.69,0.482314815
77.39,0.482326389,75.69,0.482314815
77.39,0.482326389,75.69,0.482314815
77.39,0.482326389,75.69,0.482314815
77.39,0.482326389,75.69,0.482395833
77.39,0.482407407,75.69,0.482395833
77.39,0.482407407,75.69,0.482430556
77.39,0.482453704,75.69,0.482430556
77.39,0.482453704,75.67,0.482453704
77.39,0.482453704,75.67,0.482453704
77.39,0.482453704,75.69,0.4825
77.4,0.482488426,75.69,0.4825
77.4,0.482488426,75.69,0.4825
77.4,0.482546296,75.69,0.4825
77.4,0.482546296,75.69,0.4825
77.4,0.482592593,75.69,0.4825
77.4,0.482592593,75.67,0.482604167
77.4,0.482592593,75.67,0.482604167
77.4,0.482592593,75.67,0.482604167
77.4,0.482592593,75.66,0.482638889
77.38,0.482650463,75.66,0.482638889
77.38,0.482650463,75.68,0.482662037
77.38,0.482696759,75.68,0.482662037
77.38,0.482696759,75.68,0.482662037
77.37,0.482719907,75.66,0.482696759
77.37,0.482719907,75.67,0.482731481
77.38,0.482743056,75.67,0.482731481
77.38,0.482743056,75.67,0.482731481
77.38,0.482743056,75.66,0.482766204
77.37,0.482789352,75.66,0.482766204
77.37,0.482789352,75.66,0.482789352
77.37,0.482789352,75.66,0.482789352
77.37,0.482789352,75.66,0.482789352
77.38,0.482847222,75.66,0.482789352
77.38,0.482847222,75.66,0.482881944
77.37,0.482905093,75.66,0.482881944
77.37,0.482905093,75.65,0.482916667
77.36,0.482939815,75.65,0.482916667
77.36,0.482939815,75.64,0.482951389
77.35,0.482962963,75.64,0.482951389
77.35,0.482962963,75.65,0.482986111
77.36,0.482997685,75.65,0.482986111
77.36,0.482997685,75.65,0.482986111
77.36,0.482997685,75.64,0.483009259
77.36,0.483032407,75.64,0.483009259
77.36,0.483032407,75.64,0.483009259
77.36,0.483032407,75.64,0.483055556
77.34,0.48306713,75.64,0.483055556
77.34,0.48306713,75.64,0.48306713
77.36,0.483101852,75.64,0.48306713
77.36,0.483101852,75.66,0.483101852
77.36,0.483148148,75.66,0.483101852
77.36,0.483148148,75.66,0.483101852
77.36,0.483148148,75.64,0.483136574
77.37,0.48318287,75.64,0.483136574
77.37,0.48318287,75.67,0.483194444
77.38,0.483217593,75.67,0.483194444
77.38,0.483217593,75.68,0.483217593
